Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2023,ANTIOQUIA,CAICEDO,AGUACATE HASS,181.02,346.02,1629.18,9.0,PERMANENTE
2021,ANTIOQUIA,CAICEDO,AGUACATE HASS,107.02,187.02,963.18,9.0,PERMANENTE
2024,ANTIOQUIA,CAICEDO,AGUACATE HASS,292.02,356.02,2628.18,9.0,PERMANENTE
2020,ANTIOQUIA,CAICEDO,AGUACATE HASS,38.12,43.12,381.2,10.0,PERMANENTE
2022,ANTIOQUIA,CAICEDO,AGUACATE HASS,187.02,298.02,1683.18,9.0,PERMANENTE
2024,ANTIOQUIA,CALDAS,AGUACATE HASS,4.0,4.0,24.0,6.0,PERMANENTE
2023,ANTIOQUIA,CALDAS,AGUACATE HASS,0.0,4.0,0.0,0.0,PERMANENTE
2020,ANTIOQUIA,CARAMANTA,AGUACATE HASS,10.0,50.0,200.0,20.0,PERMANENTE
2022,ANTIOQUIA,CARAMANTA,AGUACATE HASS,62.0,258.0,1240.0,20.0,PERMANENTE
2023,ANTIOQUIA,CARAMANTA,AGUACATE HASS,57.0,253.0,1140.0,20.0,PERMANENTE
2021,ANTIOQUIA,CARAMANTA,AGUACATE HASS,50.0,62.0,1000.0,20.0,PERMANENTE
2021,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,29.78,30.78,535.99,18.0,PERMANENTE
2024,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,26.78,38.78,482.04,18.0,PERMANENTE
2022,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,29.78,30.78,536.04,18.0,PERMANENTE
2022,ANTIOQUIA,CAROLINA,AGUACATE HASS,0.0,43.0,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,CAROLINA,AGUACATE HASS,38.0,54.0,570.0,15.0,PERMANENTE
2023,ANTIOQUIA,CAROLINA,AGUACATE HASS,0.0,54.0,0.0,0.0,PERMANENTE
2022,ANTIOQUIA,COCORNA,AGUACATE HASS,0.33,0.33,1.15,3.48,PERMANENTE
2021,ANTIOQUIA,COCORNA,AGUACATE HASS,0.83,0.83,2.95,3.55,PERMANENTE
2023,ANTIOQUIA,CONCORDIA,AGUACATE HASS,173.0,265.0,3460.0,20.0,PERMANENTE
2021,ANTIOQUIA,CONCORDIA,AGUACATE HASS,13.15,173.0,105.2,8.0,PERMANENTE
2022,ANTIOQUIA,CONCORDIA,AGUACATE HASS,53.0,223.0,795.0,15.0,PERMANENTE
2020,ANTIOQUIA,CONCORDIA,AGUACATE HASS,0.0,13.15,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,CONCORDIA,AGUACATE HASS,223.0,285.0,4460.0,20.0,PERMANENTE
2021,ANTIOQUIA,COPACABANA,AGUACATE HASS,8.2,18.2,24.35,2.97,PERMANENTE
2022,ANTIOQUIA,COPACABANA,AGUACATE HASS,10.2,18.2,30.29,2.97,PERMANENTE
2020,ANTIOQUIA,COPACABANA,AGUACATE HASS,0.0,19.2,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,COPACABANA,AGUACATE HASS,10.2,19.2,30.6,3.0,PERMANENTE
2023,ANTIOQUIA,COPACABANA,AGUACATE HASS,10.2,18.2,30.6,3.0,PERMANENTE
2020,ANTIOQUIA,EBEJICO,AGUACATE HASS,17.9,17.9,89.5,5.0,PERMANENTE
