Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2023,ANTIOQUIA,BETULIA,AGUACATE HASS,"79,00","149,00","790,00","10,00",PERMANENTE
2023,ANTIOQUIA,CAICEDO,AGUACATE HASS,"181,02","346,02","1.629,18","9,00",PERMANENTE
2021,ANTIOQUIA,CAICEDO,AGUACATE HASS,"107,02","187,02","963,18","9,00",PERMANENTE
2024,ANTIOQUIA,CAICEDO,AGUACATE HASS,"292,02","356,02","2.628,18","9,00",PERMANENTE
2020,ANTIOQUIA,CAICEDO,AGUACATE HASS,"38,12","43,12","381,20","10,00",PERMANENTE
2022,ANTIOQUIA,CAICEDO,AGUACATE HASS,"187,02","298,02","1.683,18","9,00",PERMANENTE
2024,ANTIOQUIA,CALDAS,AGUACATE HASS,"4,00","4,00","24,00","6,00",PERMANENTE
2023,ANTIOQUIA,CALDAS,AGUACATE HASS,"0,00","4,00","0,00","0,00",PERMANENTE
2020,ANTIOQUIA,CARAMANTA,AGUACATE HASS,"10,00","50,00","200,00","20,00",PERMANENTE
2022,ANTIOQUIA,CARAMANTA,AGUACATE HASS,"62,00","258,00","1.240,00","20,00",PERMANENTE
2023,ANTIOQUIA,CARAMANTA,AGUACATE HASS,"57,00","253,00","1.140,00","20,00",PERMANENTE
2021,ANTIOQUIA,CARAMANTA,AGUACATE HASS,"50,00","62,00","1.000,00","20,00",PERMANENTE
2021,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,"29,78","30,78","535,99","18,00",PERMANENTE
2024,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,"26,78","38,78","482,04","18,00",PERMANENTE
2022,ANTIOQUIA,CARMEN DE VIBORAL,AGUACATE HASS,"29,78","30,78","536,04","18,00",PERMANENTE
2022,ANTIOQUIA,CAROLINA,AGUACATE HASS,"0,00","43,00","0,00","0,00",PERMANENTE
2024,ANTIOQUIA,CAROLINA,AGUACATE HASS,"38,00","54,00","570,00","15,00",PERMANENTE
2023,ANTIOQUIA,CAROLINA,AGUACATE HASS,"0,00","54,00","0,00","0,00",PERMANENTE
2022,ANTIOQUIA,COCORNA,AGUACATE HASS,"0,33","0,33","1,15","3,48",PERMANENTE
2021,ANTIOQUIA,COCORNA,AGUACATE HASS,"0,83","0,83","2,95","3,55",PERMANENTE
2023,ANTIOQUIA,CONCORDIA,AGUACATE HASS,"173,00","265,00","3.460,00","20,00",PERMANENTE
2021,ANTIOQUIA,CONCORDIA,AGUACATE HASS,"13,15","173,00","105,20","8,00",PERMANENTE
2022,ANTIOQUIA,CONCORDIA,AGUACATE HASS,"53,00","223,00","795,00","15,00",PERMANENTE
2020,ANTIOQUIA,CONCORDIA,AGUACATE HASS,"0,00","13,15","0,00","0,00",PERMANENTE
